# WSE pre-publication legacy removal inventory.
# schema_version=1
# Every compatibility surface the owner decided (2026-09-13) to remove before the first published
# 1.0.0. A row leaves `pending` only through the PR that performs the work; `removed` rows stay as
# history. The `wse.legacy_removal_inventory` test validates this file and requires every
# DeprecationLedger id to appear here.
# id|component|surface|kind|replacement|managed_consumers|abi_impact|removal_status|removal_phase|ja_migration|en_migration|owner_decision
map-mutable-vector|Core|Map::vector() mutable overload|deprecated|Map::elements() / Map::at() / Map::row()|engine-tests|source|removed|1|doc/ja/DeprecationMigration.md#ja-map-legacy-accessors|doc/en/DeprecationMigration.md#map-legacy-accessors|remove-pre-1.0.0 (owner 2026-09-13)
map-begin-reference|Core|Map::begin()|deprecated|Map::front()|engine-tests|source|removed|1|doc/ja/DeprecationMigration.md#ja-map-legacy-accessors|doc/en/DeprecationMigration.md#map-legacy-accessors|remove-pre-1.0.0 (owner 2026-09-13)
xpt-serial-connector|XPT|SerialConnector class with its Event/eState enums and raw Callback alias|compatibility-only|wse::xpt::SerialPort on a single-owner worker|application-host,engine-tests|source+package|removed|3|doc/ja/DeprecationMigration.md#ja-xpt-transport|doc/en/DeprecationMigration.md#xpt-transport|remove-pre-1.0.0 (owner 2026-09-13)
package-compat-target|Package|Installed WonderStewEngine compatibility alias target|compatibility-only|WSE::Core and the WSE::* component targets|application-host,consumer-tests|package-config|removed|4|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
core-bmultithread|Core|BMultiThread public worker surface (thread/atomic/mutex pointers, raw callback context, task state machine)|unsafe-public-state|internal worker implementation behind Timer and Keyboard|engine-tests|source+abi|removed|5|doc/ja/DeprecationMigration.md#ja-core-worker-timer|doc/en/DeprecationMigration.md#core-worker-timer|remove-pre-1.0.0 (owner 2026-09-13)
core-timer-inheritance|Core|Timer public inheritance of BMultiThread including inherited constructors|unsafe-public-state|final Timer owning its worker by composition|engine-tests|source+abi|removed|5|doc/ja/DeprecationMigration.md#ja-core-worker-timer|doc/en/DeprecationMigration.md#core-worker-timer|remove-pre-1.0.0 (owner 2026-09-13)
core-timeout-spinwait|Core|Timeout atomic-flag spin-wait helpers taking std::atomic<T>*|unsafe-public-state|deadline and cancellation contracts (OperationContext style)|engine-tests|source|removed|6|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
core-result-legacy-throw|Core|Result/Status precondition violations throw wseException_|legacy-error|dedicated std::logic_error-based access error|engine-tests,bindings|source|removed|6|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
core-legacy-error|Core|ErrorCode enum with wseException_ and the wseThrowException macros|legacy-error|standard exceptions for usage errors and the Result contract for operational failures|engine-tests,examples|source+abi|removed|6|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
gef-legacy-error|GEF|CSV/BIN controllers throw legacy ErrorCode values|legacy-error|GEF Result/Status surface|engine-tests|source+abi|removed|6|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
core-opencv-coupling|Core|cv:: conversion operators and constructors in the seven data headers|third-party-coupling|dedicated OpenCV adapter component|engine-examples,enginedevelopper-archive|source|removed|7|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
link-cv-link-header|Core|api/link/cv_link.h OpenCV enable-macro header|third-party-coupling|adapter component opt-in|engine-examples|source+package|removed|7|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
naming-legacy-identifiers|All|misspelled and legacy names (Receving, Initilize, ALLOCK, ZeroDevid, UncalcurationMatrix, memoey_size, eType/sType prefixes, snake_case accessors)|legacy-naming|canonical camelCase names introduced per component|engine-tests,examples|source|removed|8|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
naming-practiser-header|Core|wse_Practiser.h header and its helper surface|legacy-naming|canonically named pixel-format helper|engine-tests|source|removed|8|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program|remove-pre-1.0.0 (owner 2026-09-13)
