# WSE removed public API ledger. History of every surface that left DeprecationLedger.tsv through
# an owner-approved removal; rows are append-only.
# schema_version=1
# id|component|public_header|surface|replacement|deprecated_on|removed_on|removal_basis|ja_migration|en_migration
map-mutable-vector|Core|wse/data/wse_Map.h|Map::vector() mutable overload|Map::elements() / Map::at() / Map::row()|2026-09-08|2026-09-13|pre-publication owner waiver (legacy removal program)|doc/ja/DeprecationMigration.md#ja-map-legacy-accessors|doc/en/DeprecationMigration.md#map-legacy-accessors
map-begin-reference|Core|wse/data/wse_Map.h|Map::begin()|Map::front()|2026-09-08|2026-09-13|pre-publication owner waiver (legacy removal program)|doc/ja/DeprecationMigration.md#ja-map-legacy-accessors|doc/en/DeprecationMigration.md#map-legacy-accessors
xpt-serial-connector|XPT|xpt/serial/SerialConnector.h|SerialConnector class (Windows-only callback serial API)|wse::xpt::SerialPort on a single owning thread|-|2026-09-13|pre-publication owner waiver (legacy removal program; compatibility-only, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-xpt-transport|doc/en/DeprecationMigration.md#xpt-transport
core-bmultithread|Core|wse/utility/wse_Base_MultiThread.h|BMultiThread public worker base (thread/atomic/mutex pointer accessors, raw void* callback context, task state machine, setThreadPriority_High)|internal worker implementation composed by Timer and Keyboard|-|2026-09-13|pre-publication owner waiver (legacy removal program; unsafe-public-state, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-core-worker-timer|doc/en/DeprecationMigration.md#core-worker-timer
package-compat-target|Package|cmake/WonderStewEngineConfig.cmake|Installed WonderStewEngine compatibility alias target|WSE::Core and the WSE::* component targets|-|2026-09-13|pre-publication owner waiver (legacy removal program; compatibility-only)|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program
core-timeout-spinwait|Core|wse/utility/wse_Timeout.h|Timeout atomic-flag spin-wait helpers (sec/msec/usec taking std::atomic<T>*)|deadline and cancellation contracts; the legacy TIMEOUT throw has no replacement consumer|-|2026-09-14|pre-publication owner waiver (legacy removal program; unsafe-public-state, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-core-error-contract|doc/en/DeprecationMigration.md#core-error-contract
core-legacy-error|Core|wse/utility/wse_Exception.h and wse/depend/wse_Enum.h|ErrorCode enum with the wseException_ class and the wseException/wseThrowException macros|standard exceptions for usage violations; component Result contracts for operational failures|-|2026-09-14|pre-publication owner waiver (legacy removal program; legacy-error, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program
core-opencv-coupling|Core|wse/data/{Image,Pixel,Point2D,Point3D,Range1D,Range2D,Size}.h|cv:: conversion constructors, assignment operators, and cv() accessors guarded by IS_ENABLE_OPENCV_WSE|the wse::ocv free functions in cv/OpenCvAdapter.h|-|2026-09-14|pre-publication owner waiver (legacy removal program; third-party-coupling, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program
link-cv-link-header|Core|link/cv_link.h|OpenCV enable-macro header defining IS_ENABLE_OPENCV_WSE from CV_VERSION|including cv/OpenCvAdapter.h opts in explicitly|-|2026-09-14|pre-publication owner waiver (legacy removal program; third-party-coupling, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program
naming-legacy-identifiers|Core|wse/data/wse_Map.h and wse/license/wse_LicenseWriter.h|the misspelled memoey_size() getter and the generic LicenseWriter::eType/eVer enum names (the other listed misspellings left with the ErrorCode enum)|memory_size() and LicenseWriter::eLicenseType/eLicenseVersion; snake_case simple getters stay canonical per the coding rule|-|2026-09-14|pre-publication owner waiver (legacy removal program; legacy-naming, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program
naming-practiser-header|Core|wse/utility/wse_Practiser.h|the misspelled pixel-format helper header name|wse/utility/wse_PixelFormat.h with an unchanged helper surface|-|2026-09-14|pre-publication owner waiver (legacy removal program; legacy-naming, never [[deprecated]])|doc/ja/DeprecationMigration.md#ja-legacy-removal-program|doc/en/DeprecationMigration.md#legacy-removal-program
